Observation Number,Measurement Date (UTC),Measurement Time (UTC),Observation Latitude,Observation Longitude,North Image URL,North Clearsky,North Cirrus/Cirrostratus,North Cirrocumulus/Altocumulus,North Altostratus/Stratus,North Stratocumulus,North Cumulus,North Cumulonimbus,North Contrails,North Smoke/Haze,North Dust,North Agreement,North Classification Count,North Retirement,East Image URL,East Clearsky,East Cirrus/Cirrostratus,East Cirrocumulus/Altocumulus,East Altostratus/Stratus,East Stratocumulus,East Cumulus,East Cumulonimbus,East Contrails,East Smoke/Haze,East Dust,East Agreement,East Classification Count,East Retirement,South Image URL,South Clearsky,South Cirrus/Cirrostratus,South Cirrocumulus/Altocumulus,South Altostratus/Stratus,South Stratocumulus,South Cumulus,South Cumulonimbus,South Contrails,South Smoke/Haze,South Dust,South Agreement,South Classification Count,South Retirement,West Image URL,West Clearsky,West Cirrus/Cirrostratus,West Cirrocumulus/Altocumulus,West Altostratus/Stratus,West Stratocumulus,West Cumulus,West Cumulonimbus,West Contrails,West Smoke/Haze,West Dust,West Agreement,West Classification Count,West Retirement,Up Image URL,Up Clearsky,Up Cirrus/Cirrostratus,Up Cirrocumulus/Altocumulus,Up Altostratus/Stratus,Up Stratocumulus,Up Cumulus,Up Cumulonimbus,Up Contrails,Up Smoke/Haze,Up Dust,Up Agreement,Up Classification Count,Up Retirement
116-238149-81348687-202201170951,2022-01-17,09:51:00,34.882700,32.371900,https://data.globe.gov/system/photos/2022/01/17/2589692/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589694/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589693/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589697/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589698/original.jpg,1,0,0,0,0,0,0,0,0,0,0.4,8,classification_count
116-238261-81302556-202201151935,2022-01-15,19:35:00,38.871700,-107.785000,https://data.globe.gov/system/photos/2022/01/15/2591615/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2591617/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2591616/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2591619/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2591620/original.jpg,5,5,5,5,5,5,5,5,5,5,0,0,other
116-238261-81302556-202201171952,2022-01-17,19:52:00,38.871700,-107.785000,https://data.globe.gov/system/photos/2022/01/17/2591622/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591624/original.jpg,0,1,0,0,0,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591623/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591625/original.jpg,1,0,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591626/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-238261-81302556-202201182036,2022-01-18,20:36:00,38.871700,-107.785000,https://data.globe.gov/system/photos/2022/01/18/2594683/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594685/original.jpg,0,0,1,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594684/original.jpg,0,0,0,0,1,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594686/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594687/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count
116-240401-81757634-202201151552,2022-01-15,15:52:00,37.264600,-80.565000,https://data.globe.gov/system/photos/2022/01/15/2584608/original.jpg,0,0,1,0,0,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584615/original.jpg,0,0,0,0,0,1,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584613/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584616/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584617/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus
116-240401-81757634-202201151849,2022-01-15,18:49:00,37.264600,-80.565000,https://data.globe.gov/system/photos/2022/01/15/2584874/original.jpg,0,0,0,0,1,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584876/original.jpg,0,0,0,0,1,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584875/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584877/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2584878/original.jpg,0,0,1,0,0,0,0,0,0,0,0.5,8,classification_count
116-240401-81757634-202201171420,2022-01-17,14:20:00,37.264600,-80.565000,https://data.globe.gov/system/photos/2022/01/17/2590856/original.jpg,0,0,0,0,0,0,1,0,0,0,0.3,9,classification_count,https://data.globe.gov/system/photos/2022/01/17/2590860/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590859/original.jpg,0,0,0,1,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2590861/original.jpg,0,0,0,1,0,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2590862/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count
116-240401-81757634-202201171730,2022-01-17,17:30:00,37.264700,-80.565000,https://data.globe.gov/system/photos/2022/01/17/2591083/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591085/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591084/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591088/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,9,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591089/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count
116-240401-81757634-202201171815,2022-01-17,18:15:00,37.264700,-80.565000,https://data.globe.gov/system/photos/2022/01/17/2591249/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591251/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591250/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591252/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591253/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count
116-240401-81757634-202201181541,2022-01-18,15:41:00,37.264600,-80.565000,https://data.globe.gov/system/photos/2022/01/18/2594116/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594126/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594120/original.jpg,0,0,0,0,0,1,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594128/original.jpg,0,0,0,0,0,1,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594129/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count
116-240401-81757634-202201181900,2022-01-18,19:00:00,37.264600,-80.565000,https://data.globe.gov/system/photos/2022/01/18/2594469/original.jpg,0,0,0,0,0,1,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594474/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594470/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594478/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594479/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-240823-81806559-202201171638,2022-01-17,16:38:00,38.876300,-94.682200,https://data.globe.gov/system/photos/2022/01/17/2590881/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590883/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590882/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2590884/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590886/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus
116-240823-81806559-202201181819,2022-01-18,18:19:00,38.876200,-94.682600,https://data.globe.gov/system/photos/2022/01/18/2594326/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594328/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594327/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594329/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594330/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus
116-240823-81806559-202201181856,2022-01-18,18:56:00,38.876300,-94.682700,https://data.globe.gov/system/photos/2022/01/18/2594431/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594433/original.jpg,0,1,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2594432/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594436/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2594438/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus
116-241021-81580753-202201151012,2022-01-15,10:12:00,51.885000,4.683200,https://data.globe.gov/system/photos/2022/01/15/2583463/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583467/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583465/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2583468/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2583469/original.jpg,1,0,0,0,0,0,0,0,0,0,0.4,8,classification_count
116-241021-81580753-202201161055,2022-01-16,10:55:00,51.885000,4.683200,https://data.globe.gov/system/photos/2022/01/16/2586568/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586570/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586569/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586571/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2586572/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus
116-241021-81580753-202201161242,2022-01-16,12:42:00,51.884700,4.683500,https://data.globe.gov/system/photos/2022/01/16/2586958/original.jpg,0,0,0,1,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586960/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586959/original.jpg,0,0,0,0,0,0,1,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586961/original.jpg,0,0,0,0,0,0,1,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586962/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count
116-241021-81580753-202201171149,2022-01-17,11:49:00,51.884700,4.683600,https://data.globe.gov/system/photos/2022/01/17/2589977/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589979/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589978/original.jpg,0,0,0,1,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589980/original.jpg,0,0,0,1,0,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589981/original.jpg,0,0,0,1,0,0,0,0,0,0,0.2,8,classification_count
116-241021-81580753-202201181039,2022-01-18,10:39:00,51.885100,4.683200,https://data.globe.gov/system/photos/2022/01/18/2592786/original.jpg,0,0,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2592788/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2592787/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2592789/original.jpg,0,0,0,1,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2592790/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count
116-241063-81806559-202201171954,2022-01-17,19:54:00,38.876400,-94.682200,https://data.globe.gov/system/photos/2022/01/17/2591594/original.jpg,0,0,1,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591596/original.jpg,0,0,1,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591595/original.jpg,0,0,1,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591597/original.jpg,0,0,1,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591598/original.jpg,0,0,1,0,0,0,0,0,0,0,0.8,8,classification_count
116-241514-81866206-202201160743,2022-01-16,07:43:00,13.061800,77.578600,https://data.globe.gov/system/photos/2022/01/16/2586126/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2586128/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2586127/original.jpg,5,5,5,5,5,5,5,5,5,5,0,0,other,https://data.globe.gov/system/photos/2022/01/16/2586130/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2586132/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,8,classification_count
116-241514-81866206-202201181224,2022-01-18,12:24:00,13.061800,77.578700,https://data.globe.gov/system/photos/2022/01/18/2593033/original.jpg,0,0,0,0,0,1,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2593035/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2593034/original.jpg,0,0,0,0,0,1,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/18/2593036/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/18/2593037/original.jpg,0,0,0,0,0,1,0,0,0,0,0.5,8,classification_count
116-242698-81899700-202201170624,2022-01-17,06:24:00,13.755400,100.532400,https://data.globe.gov/system/photos/2022/01/17/2589405/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589407/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589406/original.jpg,0,0,0,0,1,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589408/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589409/original.jpg,0,0,0,0,0,1,0,0,0,0,0.6,8,classification_count
116-247251-82620291-202201161116,2022-01-16,11:16:00,55.686300,9.530700,https://data.globe.gov/system/photos/2022/01/16/2586648/original.jpg,0,0,0,1,0,0,0,0,0,0,0.8,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586650/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2586649/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586651/original.jpg,0,0,0,1,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2586652/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count
116-248420-82973394-202201171919,2022-01-17,19:19:00,39.055200,-104.807100,https://data.globe.gov/system/photos/2022/01/17/2591506/original.jpg,5,5,5,5,5,5,5,5,5,5,0,0,other,https://data.globe.gov/system/photos/2022/01/17/2591508/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591507/original.jpg,0,1,0,0,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591509/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591510/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count
116-248600-82973394-202201151916,2022-01-15,19:16:00,39.055100,-104.806800,https://data.globe.gov/system/photos/2022/01/15/2585159/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2585161/original.jpg,1,0,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2585160/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2585162/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2585163/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-248755-20027856-202201151646,2022-01-15,16:46:00,18.210200,-67.147600,https://data.globe.gov/system/photos/2022/01/15/2585148/original.jpg,0,0,0,0,0,1,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2585150/original.jpg,0,0,0,0,0,1,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2585149/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2585151/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2585152/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,8,classification_count
116-250136-83447982-202201160936,2022-01-16,09:36:00,19.295200,84.784200,https://data.globe.gov/system/photos/2022/01/16/2586358/original.jpg,0,0,0,0,1,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586360/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586359/original.jpg,0,0,0,1,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586361/original.jpg,0,0,0,1,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586362/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count
116-251926-82769190-202201150536,2022-01-15,05:36:00,12.991800,77.681700,https://data.globe.gov/system/photos/2022/01/15/2583044/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583046/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/15/2583045/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583047/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2583048/original.jpg,0,1,0,0,0,0,0,0,0,0,0.2,8,classification_count
116-251926-82769190-202201160748,2022-01-16,07:48:00,12.991800,77.681800,https://data.globe.gov/system/photos/2022/01/16/2586138/original.jpg,5,5,5,5,5,5,5,5,5,5,0,0,other,https://data.globe.gov/system/photos/2022/01/16/2586142/original.jpg,5,5,5,5,5,5,5,5,5,5,0,0,other,https://data.globe.gov/system/photos/2022/01/16/2586141/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2586143/original.jpg,0,0,0,0,0,1,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2586144/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,8,classification_count
116-251926-82769190-202201170515,2022-01-17,05:15:00,12.991800,77.681700,https://data.globe.gov/system/photos/2022/01/17/2589327/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589329/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2589328/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589330/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2589331/original.jpg,1,0,0,0,0,0,0,0,0,0,0.4,8,classification_count
116-252196-83593767-202201162138,2022-01-16,21:38:00,-22.931400,-43.336200,https://data.globe.gov/system/photos/2022/01/16/2588686/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588688/original.jpg,0,0,0,0,1,0,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588687/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588689/original.jpg,0,0,0,1,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588690/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count
116-253340-84130758-202201161245,2022-01-16,12:45:00,24.234100,55.825600,https://data.globe.gov/system/photos/2022/01/16/2590221/original.jpg,0,0,0,0,0,1,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2590223/original.jpg,0,0,1,0,0,0,0,0,0,0,0.2,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2590222/original.jpg,0,0,1,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2590224/original.jpg,0,0,1,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2590225/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,9,classification_count
116-253340-84130758-202201171305,2022-01-17,13:05:00,24.234100,55.825600,https://data.globe.gov/system/photos/2022/01/17/2590227/original.jpg,0,0,0,0,0,1,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590229/original.jpg,0,1,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2590228/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2590230/original.jpg,0,1,0,0,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2590231/original.jpg,0,1,0,0,0,0,0,0,0,0,0.5,8,classification_count
116-253948-84274159-202201151541,2022-01-15,15:41:00,44.291000,-74.104400,https://data.globe.gov/system/photos/2022/01/15/2584272/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584274/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584273/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584275/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/15/2584276/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-253948-84274159-202201161555,2022-01-16,15:55:00,44.290300,-74.104100,https://data.globe.gov/system/photos/2022/01/16/2587667/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2587670/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2587669/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2587672/original.jpg,1,0,0,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2587673/original.jpg,1,0,0,0,0,0,0,0,0,0,1.0,5,consensus
116-254211-80110693-202201172032,2022-01-17,20:32:00,38.556700,-121.724500,https://data.globe.gov/system/photos/2022/01/17/2591731/original.jpg,0,1,0,0,0,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591733/original.jpg,0,0,1,0,0,0,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/17/2591732/original.jpg,0,0,0,0,1,0,0,0,0,0,0.4,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591734/original.jpg,0,0,1,0,0,0,0,0,0,0,0.6,8,classification_count,https://data.globe.gov/system/photos/2022/01/17/2591735/original.jpg,0,0,0,1,0,0,0,0,0,0,0.5,8,classification_count
116-254860-79755249-202201161935,2022-01-16,19:35:00,28.601400,-81.667700,https://data.globe.gov/system/photos/2022/01/16/2588387/original.jpg,5,5,5,5,5,5,5,5,5,5,0,0,other,https://data.globe.gov/system/photos/2022/01/16/2588389/original.jpg,0,0,0,0,0,1,0,0,0,0,0.5,8,classification_count,https://data.globe.gov/system/photos/2022/01/16/2588388/original.jpg,5,5,5,5,5,5,5,5,5,5,0,0,other,https://data.globe.gov/system/photos/2022/01/16/2588390/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus,https://data.globe.gov/system/photos/2022/01/16/2588391/original.jpg,0,0,0,0,0,1,0,0,0,0,0.8,5,consensus
